destinatario,userIp,notificationId,mensaje,latencia_ms,timestamp
Seller,192.168.1.22,notif-1756614650581-3500,Este es el mensaje de la notificacion,507,1756614651091
Buyer,192.168.2.73,notif-1756614650581-3500,Este es el mensaje de la notificacion,507,1756614651091
Seller,192.168.1.27,notif-1756614650660-9342,Este es el mensaje de la notificacion,511,1756614651175
Buyer,192.168.2.47,notif-1756614650660-9342,Este es el mensaje de la notificacion,511,1756614651175
Seller,192.168.1.24,notif-1756614650811-6959,Este es el mensaje de la notificacion,507,1756614651318
Buyer,192.168.2.83,notif-1756614650811-6959,Este es el mensaje de la notificacion,507,1756614651318
Seller,192.168.1.72,notif-1756614650803-1811,Este es el mensaje de la notificacion,509,1756614651318
Buyer,192.168.2.28,notif-1756614650803-1811,Este es el mensaje de la notificacion,509,1756614651318
Seller,192.168.1.72,notif-1756614650852-5007,Este es el mensaje de la notificacion,505,1756614651360
Buyer,192.168.2.55,notif-1756614650852-5007,Este es el mensaje de la notificacion,505,1756614651360
Seller,192.168.1.97,notif-1756614650877-3727,Este es el mensaje de la notificacion,509,1756614651394
Buyer,192.168.2.52,notif-1756614650877-3727,Este es el mensaje de la notificacion,509,1756614651394
Seller,192.168.1.98,notif-1756614650976-6108,Este es el mensaje de la notificacion,509,1756614651492
Buyer,192.168.2.23,notif-1756614650976-6108,Este es el mensaje de la notificacion,509,1756614651492
Seller,192.168.1.68,notif-1756614650976-3536,Este es el mensaje de la notificacion,511,1756614651492
Buyer,192.168.2.49,notif-1756614650976-3536,Este es el mensaje de la notificacion,511,1756614651492
Seller,192.168.1.25,notif-1756614651026-949,Este es el mensaje de la notificacion,514,1756614651546
Buyer,192.168.2.85,notif-1756614651026-949,Este es el mensaje de la notificacion,514,1756614651546
Seller,192.168.1.15,notif-1756614651059-1983,Este es el mensaje de la notificacion,513,1756614651574
Buyer,192.168.2.11,notif-1756614651059-1983,Este es el mensaje de la notificacion,513,1756614651574
Seller,192.168.1.42,notif-1756614651107-4430,Este es el mensaje de la notificacion,515,1756614651626
Buyer,192.168.2.98,notif-1756614651107-4430,Este es el mensaje de la notificacion,515,1756614651626
Seller,192.168.1.37,notif-1756614651192-3669,Este es el mensaje de la notificacion,502,1756614651697
Buyer,192.168.2.63,notif-1756614651192-3669,Este es el mensaje de la notificacion,502,1756614651697
Seller,192.168.1.97,notif-1756614651302-4835,Este es el mensaje de la notificacion,516,1756614651836
Buyer,192.168.2.74,notif-1756614651302-4835,Este es el mensaje de la notificacion,516,1756614651836
Seller,192.168.1.45,notif-1756614651360-154,Este es el mensaje de la notificacion,503,1756614651866
Buyer,192.168.2.38,notif-1756614651360-154,Este es el mensaje de la notificacion,503,1756614651866
Seller,192.168.1.7,notif-1756614651370-6462,Este es el mensaje de la notificacion,503,1756614651876
Buyer,192.168.2.97,notif-1756614651370-6462,Este es el mensaje de la notificacion,503,1756614651876
Seller,192.168.1.95,notif-1756614651370-6034,Este es el mensaje de la notificacion,507,1756614651903
Buyer,192.168.2.75,notif-1756614651370-6034,Este es el mensaje de la notificacion,507,1756614651903
Seller,192.168.1.81,notif-1756614651460-3808,Este es el mensaje de la notificacion,506,1756614652004
Buyer,192.168.2.22,notif-1756614651460-3808,Este es el mensaje de la notificacion,506,1756614652004
Seller,192.168.1.30,notif-1756614651496-3916,Este es el mensaje de la notificacion,501,1756614652004
Buyer,192.168.2.76,notif-1756614651496-3916,Este es el mensaje de la notificacion,501,1756614652004
Seller,192.168.1.43,notif-1756614651504-9768,Este es el mensaje de la notificacion,509,1756614652057
Buyer,192.168.2.97,notif-1756614651504-9768,Este es el mensaje de la notificacion,509,1756614652057
Seller,192.168.1.37,notif-1756614651671-9881,Este es el mensaje de la notificacion,506,1756614652181
Buyer,192.168.2.5,notif-1756614651671-9881,Este es el mensaje de la notificacion,506,1756614652181
Seller,192.168.1.64,notif-1756614651836-7022,Este es el mensaje de la notificacion,512,1756614652356
Buyer,192.168.2.77,notif-1756614651836-7022,Este es el mensaje de la notificacion,512,1756614652356
Seller,192.168.1.61,notif-1756614651903-8857,Este es el mensaje de la notificacion,500,1756614652411
Buyer,192.168.2.7,notif-1756614651903-8857,Este es el mensaje de la notificacion,500,1756614652411
Seller,192.168.1.31,notif-1756614651935-4184,Este es el mensaje de la notificacion,509,1756614652452
Buyer,192.168.2.69,notif-1756614651935-4184,Este es el mensaje de la notificacion,509,1756614652452
Seller,192.168.1.60,notif-1756614651935-4155,Este es el mensaje de la notificacion,509,1756614652452
Buyer,192.168.2.92,notif-1756614651935-4155,Este es el mensaje de la notificacion,509,1756614652452
Seller,192.168.1.78,notif-1756614652006-756,Este es el mensaje de la notificacion,514,1756614652527
Buyer,192.168.2.59,notif-1756614652006-756,Este es el mensaje de la notificacion,514,1756614652527
Seller,192.168.1.90,notif-1756614652117-6535,Este es el mensaje de la notificacion,506,1756614652624
Buyer,192.168.2.8,notif-1756614652117-6535,Este es el mensaje de la notificacion,506,1756614652624
Seller,192.168.1.100,notif-1756614652284-1709,Este es el mensaje de la notificacion,505,1756614652792
Buyer,192.168.2.86,notif-1756614652284-1709,Este es el mensaje de la notificacion,505,1756614652792
Seller,192.168.1.65,notif-1756614652292-4923,Este es el mensaje de la notificacion,505,1756614652803
Buyer,192.168.2.44,notif-1756614652292-4923,Este es el mensaje de la notificacion,505,1756614652803
Seller,192.168.1.89,notif-1756614652302-2339,Este es el mensaje de la notificacion,514,1756614652825
Buyer,192.168.2.67,notif-1756614652302-2339,Este es el mensaje de la notificacion,514,1756614652825
Seller,192.168.1.54,notif-1756614652343-1982,Este es el mensaje de la notificacion,503,1756614652857
Buyer,192.168.2.95,notif-1756614652343-1982,Este es el mensaje de la notificacion,503,1756614652857
Seller,192.168.1.27,notif-1756614652343-4455,Este es el mensaje de la notificacion,509,1756614652882
Buyer,192.168.2.13,notif-1756614652343-4455,Este es el mensaje de la notificacion,509,1756614652882
Seller,192.168.1.14,notif-1756614652356-4852,Este es el mensaje de la notificacion,509,1756614652924
Buyer,192.168.2.89,notif-1756614652356-4852,Este es el mensaje de la notificacion,509,1756614652924
Seller,192.168.1.44,notif-1756614652427-2794,Este es el mensaje de la notificacion,501,1756614652956
Buyer,192.168.2.2,notif-1756614652427-2794,Este es el mensaje de la notificacion,501,1756614652956
Seller,192.168.1.84,notif-1756614652427-7046,Este es el mensaje de la notificacion,516,1756614652973
